date_in,date_out,app_date,hours_in_custody,age_group,gender,citizenship,border,sector,field_office,source
1/20/2017 0:10,1/20/2017 10:08,NA,9.95,6-8 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:15,1/24/2017 17:30,NA,113.2333333,3-5 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:22,1/24/2017 17:47,NA,113.4166667,3-5 years,Female,BRAZIL,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:30,1/21/2017 6:35,NA,30.08333333,12-14 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:30,1/21/2017 13:03,NA,36.53333333,3-5 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:30,1/21/2017 15:30,NA,38.98333333,Under 1 year,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:35,1/21/2017 11:52,NA,35.26666667,6-8 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:35,1/20/2017 15:14,NA,14.63333333,6-8 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:35,1/21/2017 11:52,NA,35.26666667,3-5 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:35,1/21/2017 11:52,NA,35.26666667,9-11 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 0:45,1/20/2017 13:15,NA,12.5,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 1:19,1/21/2017 2:30,NA,25.16666667,15-18 years,Male,INDIA,SBO,(b)(7)(E ),NA,BP
1/20/2017 1:19,1/21/2017 2:30,NA,25.16666667,15-18 years,Male,INDIA,SBO,(b)(7)(E ),NA,BP
1/20/2017 1:20,1/24/2017 17:30,NA,112.1666667,6-8 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 1:20,1/20/2017 13:40,NA,12.33333333,9-11 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
