COUNTY,HISPANIC_POPULATION
Alameda County,369603
Alpine County,213
Amador County,6140
Butte County,38361
Calaveras County,6197
Colusa County,13280
Contra Costa County,306895
Del Norte County,5607
El Dorado County,25930
Fresno County,546774
Glenn County,12418
Humboldt County,17129
Imperial County,153382
Inyo County,4500
Kern County,501705
Kings County,85622
Lake County,15672
Lassen County,6517
Los Angeles County,4837594
Madera County,93855
Marin County,43143
Mariposa County,2223
Mendocino County,24414
Merced County,174732
Modoc County,1325
Mono County,3582
Monterey County,261954
Napa County,48182
Nevada County,10202
Orange County,1077367
Placer County,60469
Plumas County,1959
Riverside County,1233277
Sacramento County,378350
San Benito County,39768
San Bernardino County,1200147
San Diego County,1134647
San Francisco County,131517
San Joaquin County,331382
San Luis Obispo County,65946
San Mateo County,180393
Santa Barbara County,207576
Santa Clara County,476352
Santa Cruz County,91923
Shasta County,19988
Sierra County,332
Siskiyou County,5957
Solano County,126198
Sonoma County,136614
Stanislaus County,268427
Sutter County,31993
Tehama County,17585
Trinity County,1198
Tulare County,312954
Tuolumne County,7079
Ventura County,367039
Yolo County,69989
Yuba County,24353
