COUNTY,POPULATION,REGION,INCOME
Alameda County,1666753,San Francisco Bay Area,126240
Alpine County,1101,Northern San Joaquin Valley,110780
Amador County,39383,Northern San Joaquin Valley,81526
Butte County,231256,Superior California,68574
Calaveras County,45602,Northern San Joaquin Valley,79877
Colusa County,21627,Superior California,75149
Contra Costa County,1150215,San Francisco Bay Area,125727
Del Norte County,27828,North Coast,66780
El Dorado County,190678,Superior California,106190
Fresno County,994400,Southern San Joaquin Valley,71434
Glenn County,28047,Superior California,70487
Humboldt County,136373,North Coast,61135
Imperial County,181827,San Diego - Imperial,56393
Inyo County,17987,Southern San Joaquin Valley,72432
Kern County,896764,Southern San Joaquin Valley,67660
Kings County,151366,Southern San Joaquin Valley,68750
Lake County,64382,North Coast,58738
Lassen County,30802,Superior California,64395
Los Angeles County,10105518,Los Angeles,87760
Madera County,157672,Northern San Joaquin Valley,75496
Marin County,259666,San Francisco Bay Area,142785
Mariposa County,17471,Northern San Joaquin Valley,65378
Mendocino County,87606,North Coast,64488
Merced County,274765,Northern San Joaquin Valley,65044
Modoc County,8777,Superior California,56648
Mono County,14250,Northern San Joaquin Valley,86953
Monterey County,435594,Central Coast,94486
Napa County,139417,North Coast,108970
Nevada County,99696,Superior California,84905
Orange County,3185968,Orange,113702
Placer County,393149,Superior California,114678
Plumas County,18804,Superior California,64946
Riverside County,2450758,Inland Empire,89672
Sacramento County,1540975,Superior California,88724
San Benito County,61537,Central Coast,108289
San Bernardino County,2171603,Inland Empire,82184
San Diego County,3343364,San Diego - Imperial,102285
San Francisco County,883305,San Francisco Bay Area,141446
San Joaquin County,752660,Northern San Joaquin Valley,88531
San Luis Obispo County,284010,Central Coast,93398
San Mateo County,769545,San Francisco Bay Area,156000
Santa Barbara County,446527,Central Coast,95977
Santa Clara County,1937570,San Francisco Bay Area,159674
Santa Cruz County,274255,Central Coast,109266
Shasta County,180040,Superior California,71931
Sierra County,2987,Superior California,60000
Siskiyou County,43724,Superior California,55499
Solano County,446610,San Francisco Bay Area,99994
Sonoma County,499942,North Coast,102840
Stanislaus County,549815,Northern San Joaquin Valley,79661
Sutter County,96807,Superior California,75450
Tehama County,63916,Superior California,61834
Trinity County,12535,North Coast,53498
Tulare County,465861,Southern San Joaquin Valley,69489
Tuolumne County,54539,Northern San Joaquin Valley,72259
Ventura County,850967,Central Coast,107327
Yolo County,220408,Superior California,88818
Yuba County,78041,Superior California,73313
