hours work per week,number of children,age,education,sex,race,religious preference,religious services frequency,abortion,ideal number of children,sex education,homosexual,own gun,tv hours per week,email hours per week,racial discrimination at work,days of poor mental health,sexual orientation,ballot,life now,confidence in government
-100,1,72,16,2,1,4,2,-100,-100,-100,4,2,-100,-100,2,15,3,3,7,1
-100,2,80,18,1,1,2,2,-100,3,1,3,2,3,7,-100,-100,-100,1,-100,-100
-100,1,57,12,2,1,5,0,1,-100,-100,4,2,-100,-100,2,0,3,3,5,-100
25,0,23,16,2,1,4,4,-100,8,1,4,2,1,5,2,10,-100,1,8,2
-100,2,62,14,1,1,2,2,1,-100,-100,1,2,-100,-100,-100,-100,3,3,-100,3
-100,0,27,12,1,1,4,0,-100,-100,-100,4,2,-100,-100,2,-97,3,3,9,-100
-100,0,20,12,2,3,4,1,1,-100,-100,4,2,-100,-100,1,14,3,3,7,-100
-100,0,47,16,1,1,4,1,1,-100,-100,4,2,-100,-100,2,0,3,3,8,-100
-100,1,31,12,2,1,4,0,1,8,1,4,2,0,1,2,5,-100,1,10,-100
-100,4,72,12,2,-100,5,7,-100,8,2,-100,-100,19,0,-100,-100,3,2,-100,-100
-100,2,57,13,2,1,4,0,-100,8,1,-100,-100,2,0,-100,-100,3,2,-100,1
-100,0,25,16,2,1,4,1,1,-100,-100,4,2,-100,-100,2,7,3,3,8,-100
-100,2,35,12,2,1,10,2,-100,2,1,-100,-100,2,6,2,15,-100,2,8,-100
-100,2,36,12,2,1,2,1,-100,-100,-100,4,2,-100,-100,2,0,3,3,5,-100
-100,3,41,13,2,1,2,4,1,8,1,4,2,0,2,-100,-100,-100,1,-100,-100
-100,4,65,14,1,1,2,2,2,3,1,1,2,4,1,-100,-100,-100,1,-100,-100
-100,1,20,13,2,3,1,6,-100,8,1,-100,-100,0,1,-100,-100,-100,2,-100,-100
-100,7,80,16,2,1,2,7,-100,3,1,-100,-100,5,8,2,4,3,2,8,2
-100,4,35,11,2,2,4,0,1,-100,-100,4,2,-100,-100,2,10,3,3,6,2
-100,0,89,12,2,1,2,0,-100,3,1,-100,-100,4,-100,-100,-100,3,2,-100,-100
-100,3,34,10,2,3,1,7,2,8,1,1,2,1,1,-100,-100,-100,1,-100,3
-100,5,55,12,2,2,5,0,2,3,1,1,2,12,2,-100,-100,-100,1,-100,2
-100,0,65,16,1,1,2,1,1,2,1,4,2,2,0,-100,-100,-100,1,-100,1
-100,3,60,14,2,2,4,0,1,2,1,1,1,1,4,2,2,-100,1,8,2
-100,2,28,13,1,1,4,2,1,4,2,4,2,0,0,2,0,-100,1,9,3
-100,3,82,12,2,1,1,7,2,2,1,1,2,5,3,-100,-100,-100,1,-100,1
-100,1,59,12,1,3,2,0,-100,-100,-100,4,1,-100,-100,2,0,-100,3,9,1
-100,0,86,12,2,2,1,4,-100,2,1,4,2,1,0,-100,-100,-100,1,-100,-100
-100,1,36,16,1,3,2,7,1,-100,-100,4,2,-100,-100,-99,14,3,3,8,-100
-100,2,79,12,2,1,1,0,-100,3,2,-100,-100,3,-100,-100,-100,2,2,-100,-100
-100,2,65,14,1,3,4,0,-100,-100,-100,4,2,-100,-100,2,0,3,3,8,-100
-100,8,-99,12,-98,-100,10,-97,-100,-100,-100,4,2,-100,-100,-100,-100,-97,3,-100,-100
-100,4,76,12,2,1,4,0,-100,2,1,-100,-100,10,0,-100,-100,3,2,-100,-100
-100,2,72,16,2,1,5,7,1,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,-100
-100,1,62,13,2,1,4,0,-100,8,1,4,2,4,2,-100,-100,-100,1,-100,-100
-100,0,46,14,1,1,2,2,1,2,1,4,2,3,7,2,0,-100,1,4,-100
-100,2,84,15,1,1,2,7,-100,2,1,-100,-100,3,5,-100,-100,-100,2,-100,-100
-100,2,79,12,1,1,2,3,-100,2,1,-100,-100,5,2,-100,-100,3,2,-100,-100
-100,2,38,16,2,1,2,2,-100,3,1,4,2,2,2,2,1,-100,1,9,-100
-100,2,64,13,1,1,4,2,1,-100,-100,4,2,-100,-100,2,10,3,3,8,1
-100,6,49,16,2,1,3,5,-100,4,1,-100,-100,0,20,2,1,-100,2,9,2
-100,0,65,15,2,1,2,5,1,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,1
-100,0,29,16,2,3,1,3,-100,8,1,-100,-100,2,1,-100,-100,-100,2,-100,2
-100,0,30,18,1,2,5,8,1,3,1,-98,2,4,10,1,0,-100,1,9,-100
-100,1,30,14,2,2,5,3,-100,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,-100
-100,1,50,17,2,2,4,2,-100,-100,-100,3,2,-100,-100,1,5,2,3,10,-100
-100,3,32,12,2,2,4,2,-100,-100,1,1,2,1,10,2,0,-100,1,9,-100
-100,3,52,16,1,1,2,6,-100,2,2,-100,-100,1,10,-100,-100,3,2,-100,-100
-100,4,89,19,1,1,2,2,-100,8,1,2,2,6,5,-100,-100,-100,1,-100,-100
-100,3,70,14,2,1,2,6,-100,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,-100
-100,4,59,16,2,1,1,2,1,-100,-100,4,2,-100,-100,2,0,3,3,10,-100
-100,2,46,16,1,3,4,0,1,2,1,1,2,3,5,2,0,-100,1,6,1
-100,0,43,16,2,3,7,1,-100,-100,-100,4,2,-100,-100,2,1,-97,3,-98,-100
-100,5,60,12,1,1,2,0,-100,8,1,-100,-100,1,1,2,0,-100,2,8,1
