age,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
72,Divorced,1,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,None,2,-100,.i:  Inapplicable,4,-100,-100,4,2,3,7,15,1,3
80,Married,2,3,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,2,-100,Favor,3,3,7,-100,-100,-100,-100,-100,-100,1
57,Divorced,1,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Other,0,1,.i:  Inapplicable,4,-100,-100,5,2,3,5,0,-100,3
23,Never married,0,8,FEMALE,.i:  Inapplicable,White,WHITE,Extremely liberal,None,4,-100,Favor,4,1,5,10,2,3,8,10,2,1
62,Never married,2,-100,MALE,Heterosexual or straight,White,WHITE,Slightly conservative,Catholic,2,1,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,3,3
27,Never married,0,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,0,-100,.i:  Inapplicable,4,-100,-100,4,2,2,9,-97,-100,3
20,Never married,0,-100,FEMALE,Heterosexual or straight,Other,HISPANIC,Slightly liberal,None,1,1,.i:  Inapplicable,4,-100,-100,4,1,3,7,14,-100,3
47,Married,0,-100,MALE,Heterosexual or straight,White,WHITE,Extremely liberal,None,1,1,.i:  Inapplicable,4,-100,-100,4,2,2,8,0,-100,3
31,Never married,1,8,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,None,0,1,Favor,4,0,1,2,2,1,10,5,-100,1
72,Never married,4,8,FEMALE,Heterosexual or straight,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,"Moderate, middle of the road",Other,7,-100,Oppose,-100,19,0,-100,-100,-100,-100,-100,-100,2
57,Widowed,2,8,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,0,-100,Favor,-100,2,0,-100,-100,2,-100,-100,1,2
