year,id_,labor_force_status,hours_per_week,marital_status,childs,age,education,sex,race,income,political_views,religious_preference,attends_religious_services,health,confidence_exec_branch,work_satisfaction,class_identification,abortion opinion,ideal_number_children,sex_education_opinion,homosexual_opinion,convicted,lockedup,tv_hours,confidence_god,email_hours,relax_hours,racism_work,poor_mental_health,sexual_orientation,ethnicify,ballot,life_rating,confidence_federal
2012,1,2,None,Never married,0,22,16,MALE,White,None,Moderate  middle of the road,Catholic,About once or twice a year,Good,None,Very satisfied,Upper class,YES,2,Favor,NOT WRONG AT ALL,No,No,1,Believe with doubts,4,None,NO,10,Heterosexual or straight,WHITE,Ballot a,None,None
2012,2,2,None,Never married,0,21,12,MALE,White,None,Slightly conservative,Catholic,Never,Excellent,ONLY SOME,Very satisfied,Middle class,YES,None,None,ALWAYS WRONG,No,No,None,Believe with doubts,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,3,1,None,Married,2,42,12,MALE,Other,$25000 OR MORE,Slightly conservative,Protestant,Never,Good,ONLY SOME,A little dissatisfied,Middle class,YES,None,None,NOT WRONG AT ALL,Yes,No,None,Higher power,None,None,NO,5,Heterosexual or straight,HISPANIC,Ballot c,None,None
2012,4,8,None,Married,2,49,13,FEMALE,White,None,Slightly conservative,Protestant,Never,None,HARDLY ANY,None,Upper class,None,None,Favor,None,No,No,4,Higher power,2,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,5,5,None,Separated,3,70,16,FEMALE,Black,None,Liberal,Protestant,Less than once a year,None,A GREAT DEAL,None,Lower class,None,2,Favor,None,No,No,3,No doubts,0,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,6,8,None,Widowed,2,50,19,FEMALE,White,None,Moderate  middle of the road,Protestant,Never,Poor,None,None,Middle class,YES,2,Favor,NOT WRONG AT ALL,No,Yes,4,Believe with doubts,None,None,None,None,None,WHITE,Ballot a,None,None
2012,7,7,None,Married,2,35,15,FEMALE,White,None,Moderate  middle of the road,Christian,Several times a year,None,HARDLY ANY,Very satisfied,Working class,None,None,Favor,None,No,No,3,No doubts,8,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,8,7,None,Separated,3,24,11,FEMALE,Other,None,Moderate  middle of the road,Catholic,Several times a year,Fair,HARDLY ANY,Moderately satisfied,Working class,NO,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,None,None,None,HISPANIC,Ballot c,None,None
2012,9,7,None,Married,2,28,9,FEMALE,Black,None,Conservative,None,Never,Fair,None,Moderately satisfied,Middle class,NO,3,Favor,NOT WRONG AT ALL,None,None,None,No doubts,0,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot a,None,None
2012,10,1,None,Never married,0,28,17,FEMALE,White,$25000 OR MORE,Liberal,None,About once or twice a year,Good,A GREAT DEAL,Moderately satisfied,Working class,YES,None,None,NOT WRONG AT ALL,Yes,No,None,Higher power,None,None,NO,3,Heterosexual or straight,WHITE,Ballot c,None,None
2012,11,8,None,Divorced,6,55,10,MALE,White,None,Extremely liberal,Catholic,Every week,Poor,None,None,Lower class,NO,1,None,None,Yes,No,6,No doubts,0,None,None,None,Heterosexual or straight,WHITE,Ballot a,None,None
2012,12,2,None,Never married,3,36,16,FEMALE,Black,$6000 TO 6999,Liberal,Protestant,Never,None,ONLY SOME,Moderately satisfied,Working class,None,2,Favor,None,No,No,2,No doubts,1,None,NO,0,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,13,7,None,Never married,4,28,12,FEMALE,White,None,Moderate  middle of the road,None,Never,Fair,HARDLY ANY,None,Lower class,None,None,None,NOT WRONG AT ALL,No,No,None,Don't believe,None,None,None,None,Heterosexual or straight,WHITE,Ballot c,None,None
2012,14,8,None,Divorced,6,59,12,FEMALE,Black,None,None,Protestant,Several times a week,Good,None,None,Upper class,NO,None,Favor,ALWAYS WRONG,No,No,2,No doubts,0,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot a,None,None
2012,15,2,None,Never married,4,52,4,MALE,Other,$15000 - 19999,Extremely conservative,Catholic,Several times a year,None,ONLY SOME,A little dissatisfied,Working class,None,4,Favor,None,No,No,2,No doubts,0,None,NO,4,Heterosexual or straight,None,Ballot b,None,None
2012,16,1,None,Never married,4,35,13,FEMALE,Black,$25000 OR MORE,Slightly liberal,Protestant,About once a month,Good,HARDLY ANY,Very satisfied,Middle class,YES,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,NO,5,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot c,None,None
2012,17,1,None,Married,3,36,12,MALE,White,$25000 OR MORE,Moderate  middle of the road,Catholic,Every week,None,None,Moderately satisfied,Working class,None,2,Favor,None,No,No,2,No doubts,0,None,NO,2,Heterosexual or straight,WHITE,Ballot b,None,None
2012,18,1,None,Divorced,5,47,13,FEMALE,Black,$25000 OR MORE,Conservative,Protestant,2-3 times a month,None,ONLY SOME,Very satisfied,Middle class,None,2,Favor,None,No,No,3,No doubts,2,None,YES,4,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,19,1,None,Married,6,55,12,MALE,Other,$25000 OR MORE,Moderate  middle of the road,Catholic,About once a month,Fair,ONLY SOME,Moderately satisfied,Working class,NO,None,None,SOMETIMES WRONG,None,None,None,None,None,None,YES,1,None,None,Ballot c,None,None
2012,20,6,None,Never married,0,18,12,FEMALE,Other,None,Moderate  middle of the road,Catholic,About once or twice a year,Excellent,None,None,Lower class,NO,3,Favor,NOT WRONG AT ALL,No,No,5,Believe with doubts,40,None,None,None,Heterosexual or straight,HISPANIC,Ballot a,None,None
2012,21,4,None,Separated,8,76,0,FEMALE,Other,None,Extremely conservative,Catholic,Every week,Poor,ONLY SOME,Moderately satisfied,Working class,NO,None,None,ALWAYS WRONG,No,No,None,No doubts,None,None,None,None,Heterosexual or straight,HISPANIC,Ballot c,None,None
2012,22,1,None,Never married,1,39,10,MALE,Other,None,Extremely conservative,Catholic,Several times a year,Excellent,ONLY SOME,Moderately satisfied,Upper class,NO,None,None,ALWAYS WRONG,No,Yes,None,No doubts,None,None,NO,0,Heterosexual or straight,HISPANIC,Ballot c,None,None
2012,23,1,None,Married,2,54,14,MALE,White,$25000 OR MORE,Conservative,Protestant,Every week,None,HARDLY ANY,A little dissatisfied,Middle class,None,2,Favor,None,No,No,3,No doubts,2,None,NO,0,Heterosexual or straight,WHITE,Ballot b,None,None
2012,24,1,None,Married,2,45,16,FEMALE,Other,$25000 OR MORE,Liberal,None,About once or twice a year,None,ONLY SOME,Moderately satisfied,Working class,None,2,Favor,None,No,No,0,No doubts,0,None,NO,0,None,ASIAN INDIAN,Ballot b,None,None
2012,25,5,None,Married,2,71,12,MALE,White,None,Slightly conservative,Protestant,Every week,None,HARDLY ANY,None,Middle class,None,2,Oppose,None,No,No,2,No doubts,0,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,26,1,None,Married,2,42,17,FEMALE,White,None,Moderate  middle of the road,Orthodox-christian,2-3 times a month,Good,ONLY SOME,Moderately satisfied,Middle class,YES,None,None,None,No,No,None,Higher power,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,27,1,None,Never married,0,22,15,MALE,White,$15000 - 19999,Moderate  middle of the road,Protestant,Several times a year,Excellent,None,Very satisfied,Middle class,NO,3,Favor,SOMETIMES WRONG,No,No,2,Believe with doubts,2,None,NO,0,Heterosexual or straight,WHITE,Ballot a,None,None
