age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
72,16,Divorced,1,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,None,2,-100,.i:  Inapplicable,4,-100,-100,4,2,3,7,15,1,3
80,18,Married,2,3,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,2,-100,Favor,3,3,7,-100,-100,-100,-100,-100,-100,1
57,12,Divorced,1,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Other,0,1,.i:  Inapplicable,4,-100,-100,5,2,3,5,0,-100,3
23,16,Never married,0,8,FEMALE,.i:  Inapplicable,White,WHITE,Extremely liberal,None,4,-100,Favor,4,1,5,10,2,3,8,10,2,1
62,14,Never married,2,-100,MALE,Heterosexual or straight,White,WHITE,Slightly conservative,Catholic,2,1,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,3,3
27,12,Never married,0,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,0,-100,.i:  Inapplicable,4,-100,-100,4,2,2,9,-97,-100,3
20,12,Never married,0,-100,FEMALE,Heterosexual or straight,Other,HISPANIC,Slightly liberal,None,1,1,.i:  Inapplicable,4,-100,-100,4,1,3,7,14,-100,3
47,16,Married,0,-100,MALE,Heterosexual or straight,White,WHITE,Extremely liberal,None,1,1,.i:  Inapplicable,4,-100,-100,4,2,2,8,0,-100,3
31,12,Never married,1,8,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,None,0,1,Favor,4,0,1,2,2,1,10,5,-100,1
72,12,Never married,4,8,FEMALE,Heterosexual or straight,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,"Moderate, middle of the road",Other,7,-100,Oppose,-100,19,0,-100,-100,-100,-100,-100,-100,2
57,13,Widowed,2,8,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,0,-100,Favor,-100,2,0,-100,-100,2,-100,-100,1,2
25,16,Never married,0,-100,FEMALE,Heterosexual or straight,White,WHITE,.d:  Do not Know/Cannot Choose,None,1,1,.i:  Inapplicable,4,-100,-100,5,2,1,8,7,-100,3
35,12,Married,2,2,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Orthodox-christian,2,-100,Favor,-100,2,6,6,2,1,8,15,-100,2
36,12,Never married,2,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,1,-100,.i:  Inapplicable,4,-100,-100,10,2,3,5,0,-100,3
41,13,Never married,3,8,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Catholic,4,1,Favor,4,0,2,-100,-100,3,-100,-100,-100,1
65,14,Divorced,4,3,MALE,.i:  Inapplicable,White,WHITE,Liberal,Catholic,2,2,Favor,1,4,1,-100,-100,-100,-100,-100,-100,1
20,13,Never married,1,8,FEMALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,Conservative,Protestant,6,-100,Favor,-100,0,1,-100,-100,1,-100,-100,-100,2
80,16,Married,7,3,FEMALE,Heterosexual or straight,White,WHITE,Slightly liberal,Catholic,7,-100,Favor,-100,5,8,4,2,1,8,4,2,2
35,11,Never married,4,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",None,0,1,.i:  Inapplicable,4,-100,-100,2,2,2,6,10,2,3
89,12,Never married,0,3,FEMALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,0,-100,Favor,-100,4,-100,-100,-100,-100,-100,-100,-100,2
34,10,Married,3,8,FEMALE,.i:  Inapplicable,Other,HISPANIC,Conservative,Protestant,7,2,Favor,1,1,1,-100,-100,1,-100,-100,3,1
55,12,Married,5,3,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Extremely conservative,Other,0,2,Favor,1,12,2,-100,-100,-100,-100,-100,2,1
65,16,Widowed,0,2,MALE,.i:  Inapplicable,White,WHITE,Conservative,Catholic,1,1,Favor,4,2,0,-100,-100,-100,-100,-100,1,1
60,14,Married,3,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,None,0,1,Favor,1,1,4,1,2,2,8,2,2,1
28,13,Never married,2,4,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,2,1,Oppose,4,0,0,2,2,2,9,0,3,1
82,12,Widowed,3,2,FEMALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Protestant,7,2,Favor,1,5,3,-100,-100,-100,-100,-100,1,1
59,12,Married,1,-100,MALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,Liberal,Catholic,0,-100,.i:  Inapplicable,4,-100,-100,8,2,1,9,0,1,3
86,12,Widowed,0,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,4,-100,Favor,4,1,0,-100,-100,-100,-100,-100,-100,1
36,16,Married,1,-100,MALE,Heterosexual or straight,Other,AMERICAN INDIAN OR ALASKA NATIVE,"Moderate, middle of the road",Catholic,7,1,.i:  Inapplicable,4,-100,-100,-99,-99,-99,8,14,-100,3
79,12,Married,2,3,FEMALE,Bisexual,White,WHITE,Extremely conservative,Protestant,0,-100,Oppose,-100,3,-100,-100,-100,-100,-100,-100,-100,2
65,14,Married,2,-100,MALE,Heterosexual or straight,Other,AMERICAN INDIAN OR ALASKA NATIVE,"Moderate, middle of the road",None,0,-100,.i:  Inapplicable,4,-100,-100,4,2,1,8,0,-100,3
-99,12,Never married,8,-100,.d:  Do not Know/Cannot Choose,.s:  Skipped on Web,.i:  Inapplicable,.i:  Inapplicable,"Moderate, middle of the road",Orthodox-christian,-97,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,-100,3
76,12,Divorced,4,2,FEMALE,Heterosexual or straight,White,WHITE,Extremely liberal,None,0,-100,Favor,-100,10,0,-100,-100,-100,-100,-100,-100,2
72,16,Divorced,2,-100,FEMALE,Heterosexual or straight,White,WHITE,Slightly liberal,Other,7,1,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,-100,3
62,13,Widowed,1,8,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,0,-100,Favor,4,4,2,-100,-100,2,-100,-100,-100,1
46,14,Never married,0,2,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,2,1,Favor,4,3,7,5,2,2,4,0,-100,1
84,15,Widowed,2,2,MALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Catholic,7,-100,Favor,-100,3,5,-100,-100,-100,-100,-100,-100,2
79,12,Married,2,2,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,3,-100,Favor,-100,5,2,-100,-100,-100,-100,-100,-100,2
38,16,Married,2,3,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Catholic,2,-100,Favor,4,2,2,2,2,2,9,1,-100,1
64,13,Divorced,2,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,2,1,.i:  Inapplicable,4,-100,-100,6,2,2,8,10,1,3
49,16,Married,6,4,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Jewish,5,-100,Favor,-100,0,20,3,2,2,9,1,2,2
65,15,Widowed,0,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,Catholic,5,1,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,1,3
29,16,Never married,0,8,FEMALE,.i:  Inapplicable,Other,CHINESE,Liberal,Protestant,3,-100,Favor,-100,2,1,-100,-100,3,-100,-100,2,2
30,18,Never married,0,3,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Other,8,1,Favor,-98,4,10,6,1,2,9,0,-100,1
30,14,Never married,1,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Other,3,-100,.i:  Inapplicable,4,-100,-100,-100,-100,2,-100,-100,-100,3
50,17,Divorced,1,-100,FEMALE,Bisexual,Black,BLACK OR AFRICAN AMERICAN,Liberal,None,2,-100,.i:  Inapplicable,3,-100,-100,2,1,3,10,5,-100,3
