State,All_Rate,All_Count,Female_Rate,Female_Count,Male_Rate,Male_Count
Alabama,15.1,729,4.8,122,25.7,607
Alaska,8.6,63,5,18,11.9,45
Arizona,8,563,3.2,110,12.6,453
Arkansas,11.7,335,4.5,64,18.9,271
California,5.3,2061,1.8,364,8.7,1697
Colorado,6.7,393,2.6,72,10.5,321
Connecticut,4.8,160,1.8,32,7.7,128
District of Columbia,33.5,246,6.4,24,63.6,222
Florida,6.8,1416,2.7,288,10.9,1128
Georgia,10.1,1095,3.6,197,16.8,898
Idaho,3.4,61,2,17,4.8,44
Illinois,10,1186,3.6,213,16.2,973
Indiana,8.4,551,3.4,110,13.4,441
Iowa,3.4,102,1.3,22,5.3,80
Kansas,6.8,192,3.7,52,9.7,140
Kentucky,7.6,324,3.8,80,11.4,244
Louisiana,19.5,843,6.7,146,32.4,697
Maryland,10.1,585,2.6,78,17.8,507
Massachusetts,2.7,185,1.1,40,4.3,145
Michigan,7,651,3,137,10.9,514
Minnesota,3.8,208,1.6,47,5.9,161
Mississippi,19.8,554,5.6,78,34.3,476
Missouri,10.8,630,4.1,120,17.3,510
Nevada,8.6,268,4.3,68,12.7,200
New Jersey,3.5,300,1.4,64,5.5,236
New Mexico,15.7,307,5.9,61,25.1,246
New York,4.1,762,1.5,141,6.7,621
North Carolina,8.8,920,3.2,166,14.5,754
Ohio,8.1,894,3.4,186,12.8,708
Oklahoma,7.6,297,4,78,11.2,219
Oregon,4.9,202,2.5,52,7.3,150
Pennsylvania,7.8,933,2.8,175,12.7,758
Puerto Rico,15.7,462,2.9,45,29.2,417
South Carolina,11.5,574,4.3,112,18.8,462
Tennessee,11.5,786,4.5,155,18.7,631
Texas,7.4,2255,3.2,483,11.5,1772
Utah,2.6,90,1.2,20,4,70
Virginia,6.9,589,2.5,110,11.2,479
Washington,5.6,435,2.4,91,8.7,344
West Virginia,5.5,90,2.9,24,8,66
Wisconsin,5.4,298,2.5,67,8.2,231
