State,All_Percent,All_Families,White_Percent,White_Families,Black_Percent,Black_Families,AI_AN_Percent,AI_AN_Families,API_Percent,API_Families,Hispanic_Percent,Hispanic_Families
Alabama,11.3,143938,7.5,66043,21.3,64419,15.1,864,8.7,1458,19.3,10439
Alaska,6.8,11664,4.4,5139,9.7,446,18,3645,7.9,942,8.7,875
Arizona,8.9,161583,6.7,83735,12.6,8888,24.6,15193,6.6,4140,14.5,70471
Arkansas,11.5,89060,8.8,51160,25.5,25850,13.2,525,8.9,1207,15.5,8649
California,8.4,772253,6,264752,14.4,66925,12.4,12348,6.9,103428,12.5,405497
Colorado,5.9,84646,4.6,51303,14.3,7206,14.8,1998,5.6,2535,11.4,31414
Connecticut,6.8,62462,4.2,27478,13.7,12166,22.7,510,6.8,2989,17.5,25260
Delaware,7.3,18805,4.6,7959,14,7107,22.1,208,5.4,592,16.2,3525
District of Columbia,10.7,14228,0.7,386,19.4,11700,14.5,40,8.7,417,9.2,1327
Florida,8.9,492997,6.6,233417,15.9,117942,13,1865,8,12401,12,168798
Georgia,9.9,263089,6.5,98078,15.7,121484,17.6,1586,6.9,8361,14.8,35190
Hawaii,6.9,22929,5.6,4976,5,330,16.4,146,6.7,11120,10.9,2696
Idaho,7,33569,6.3,26021,17.6,378,20,950,9.1,547,12.3,6178
Illinois,8.2,255492,5.3,113195,20.1,77103,10.5,1640,7,13038,11.9,59771
Indiana,8.4,143434,6.6,92783,21,28309,18.5,756,8.9,3337,16.2,18457
Iowa,6.9,55842,5.8,41662,25.6,6489,22.5,528,8.2,1400,15.2,6611
Kansas,7.7,57001,6.1,37008,17.7,5958,14.6,711,9,1816,16.2,12876
Kentucky,11.8,136096,10.7,106729,21,16450,18.1,310,10.2,1673,19.5,7922
Louisiana,14.2,159527,8.9,62919,25.2,79072,15.5,957,12.7,2404,18.5,12680
Maine,6.5,23318,6.1,20539,20,817,13.9,219,11.1,340,9.1,441
Maryland,6.3,96111,3.9,31998,9.6,40856,8.4,400,5.6,5760,9.9,14845
Massachusetts,6.6,114026,4.5,57360,13.3,14386,15.5,571,7.8,9341,17.8,34200
Michigan,8.8,221941,6.6,131367,21.9,63526,15.4,1569,6.8,5412,15.2,17363
Minnesota,5.5,78258,3.7,44678,19.8,15354,25.1,2582,8.2,5202,12.6,8626
Mississippi,14.3,105525,7.9,35572,25.2,63657,21.4,615,8.8,587,20.3,4073
Missouri,8.4,129737,6.9,87202,18.5,27716,14.7,559,6.4,2060,14.2,8712
Montana,7.1,19391,5.9,14392,9.7,69,28.8,3199,11.7,190,12.5,1089
Nebraska,6.7,32975,5.2,21728,20.3,3989,20.8,786,7,775,13.7,6642
Nevada,9,68370,6.6,29376,17.2,10829,16.7,1582,8.2,5857,12.8,24594
New Hampshire,4.4,15667,4.2,13617,5.5,235,0,0,3.3,295,10.3,1247
New Jersey,7,164334,4.5,63694,12.7,34642,13,1290,4.2,10552,13.9,65322
New Mexico,13.7,69601,10.1,29905,16.9,1510,28,11582,10,813,17.5,39789
New York,9.8,463103,6.2,178198,16.4,105653,19.2,4507,11.3,47964,16.9,142523
North Carolina,9.4,252513,6.4,117676,16.6,84585,21.2,5718,5.9,4988,17.7,41213
North Dakota,6.2,11646,4.2,6941,18.8,866,29,1920,24,724,14.9,899
Ohio,9.2,274066,6.9,166304,23.1,73820,25.9,930,8,5629,18.7,19891
Oklahoma,11.1,110920,8.9,63764,21.8,13678,15.9,10481,11.9,2693,17.9,17320
Oregon,7.3,76805,6.4,54813,21.8,3228,12.4,1278,8,3940,12.1,14455
Pennsylvania,8.1,264862,5.6,146618,20.2,61132,18.8,1014,9.2,10793,21.3,47644
Puerto Rico,38.2,304614,38,106567,38.9,23790,42.3,606,37.2,582,38.3,302689
Rhode Island,7,18767,4.5,9056,14.5,2006,12.8,129,6.6,572,17.8,7365
South Carolina,10.1,136306,6.5,59982,19.3,60281,21.7,778,7.9,1763,17.9,13621
South Dakota,7.4,16369,4.7,9023,17.8,673,42.3,5104,4.5,115,16.4,1194
Tennessee,9.9,176288,7.8,107517,18.5,47857,13.2,433,6.1,1837,17.6,16988
Texas,10.5,769750,7.6,322494,15.5,126954,13.7,6469,7.2,29678,16.3,428735
Utah,5.7,45507,4.9,32776,17.4,1270,15.5,1051,7.1,1683,10.3,10724
Vermont,5.7,9015,5.3,7968,23.7,213,14,34,6.8,145,12.3,378
Virginia,6.8,147333,4.8,68220,13.1,49257,12.5,749,4.8,7151,11.5,22660
Washington,6.4,123641,5.1,72100,12.7,8213,16.6,3281,6,11521,12.9,27836
West Virginia,11.9,53766,11.3,47631,22.2,2414,25.6,79,5.2,158,16.7,1189
Wisconsin,6.6,97841,4.8,61647,23.7,17216,20.4,1940,8.7,3127,16.4,14298
Wyoming,7.1,10566,6.7,8933,34.3,309,19.1,466,5.7,59,11.6,1478
