id,demo_gender,demo_age,demo_relationshipstatus01,demo_children,demo_classstanding,demo_units,demo_gpa,demo_employed01,demo_employed02,demo_employed03,demo_incomehousehold,demo_incomepersonal,demo_politics,demo_religion,socialmedia_constantly,socialmedia_first,socialmedia_last,socialmedia_dumb,procrastinate_minute,procrastinate_plan,procrastinate_distracted,procrastinate_projects,procrastinate_pressure,procrastinate_concentrate,procrastinate_deadlines,procrastinate_management,procrastinate_task,outlook_expect,outlook_worst,outlook_wrong,deviance_play,deviance_activities,deviance_risks,deviance_cautious,deviance_told,deviance_new,deviance_rules,deviance_opposite,locus_luck,locus_work,locus_talent,locus_system,locus_people,personality_myself,personality_outgoing,personality_quiet,personality_exhausting,personality_center,personality_energizing,personality_rehearse,personality_groups,impulsivity_decisions,impulsivity_thinking,impulsivity_money,impulsivity_buy,impulsivity_options,family_enjoy,family_stress,family_sacrifices,family_like,family_secrets,family_fight,family_regularly,friends_enjoy,friends_stress,friends_sacrifices,friends_like,friends_secrets,friends_fight,friends_regularly,stress_relax,stress_sleep,stress_concentrate,stress_bed,stress_myself,stress_motivated,stress_emotions,stress_productive,stress_social,esteem_worth,esteem_qualities,esteem_failure,esteem_well,esteem_proud,esteem_satisfied,esteem_attitude,esteem_respect,esteem_useless,esteem_good,satisfaction_physical,satisfaction_mental,satisfaction_appearance,satisfaction_finances,satisfaction_housing,satisfaction_transportation,satisfaction_friends,satisfaction_family,satisfaction_education,satisfaction_career,satisfaction_freetime,demo_relationshipstatus02,conflictresolution_forgive,conflictresolution_grudges,conflictresolution_solve,conflictresolution_argue,significantother_committed,significantother_unhappy,significantother_wish,significantother_imagine,satisfaction_significantother,demo_employed04,jobsecurity_worry,jobsecurity_months,jobsecurity_people,jobsecurity_secure,jobsecurity_challenge,jobsatisfaction_enjoyable,jobsatisfaction_accomplishment,jobsatisfaction_waste,jobsatisfaction_proud,jobsatisfaction_bored,satisfaction_job,jobmobility_adequately,jobmobility_promoted,jobmobility_stuck,jobmobility_paid,jobmobility_opportunities,workdemands_breaks,workdemands_early,workdemands_complete,workdemands_think,workdemands_free,workdemands_easy,workdemands_late,workdemands_exhausting,supervisors_trouble,supervisors_me,supervisors_respect,supervisors_friends,supervisors_argue,supervisors_like,coworkers_trouble,coworkers_me,coworkers_respect,coworkers_friends,coworkers_argue,coworkers_like,wis_time,wis_tired,satisfaction_performanceschool,siw_time,siw_tired,satisfaction_performancework
1,1,19,1,2,2,15,3.15,1,1,45,60000,16000, ,6,5,4,4,5,4,5,3,4,5,3,4,5,5,5,4,3,3,4,5,4,2,4,5,2,1,6,5,4,4,5,5,6,4,2,4,4,3,4,4,2,3,5,6,5,6,6,6,4,6,5,5,6,5,5,4,4,5,6,5,5,5,6,4,5,5,4,4,2,4,2,4,4,3,3,2,3,3,5,4,5,5,5,5,5,4,2,1, , , , , , , , , ,1,1,1,1,6,1,3,5,4,4,5,4,5,4,2,5,5,5,5,3,4,3,1,5,5,3,2,5,5,2,5,2,2,4,5,5,5,4,4,3,3,3,2
2,2,26,2,2,3,14,3.3,1,1,35,27000,27000,4,5,1,1,1,6,5,5,5,4,4, ,2,2,4,4,3,2,5,3,3,3,4,3,3,3,2,5,4,4,4,5,5,3,5,3,5,4,3,4,3,5,3,4,6,3,6,6,4,3,5,6,3,4,6,4,2,1,6,6,6,6,1,4,2,4,6,4,5,2,5,2,4,2,4,3,3,4,4,4,4,1,6,6,6,5,5,1,2,5,4,5,1,6,1,1,6,6,1,1,6,5,5,2,4,3,3,5,3,4,4,3,4,3,4,5,5,5,2,1,3,5,6,1,1,5,5,2,5,1,1,6,6,1,6,5,5,4,5,5,4
3,1, ,1,2,3,15,3.11,2,2, ,6000,2000,4,3,5,4,4,3,4,3,3,3,4,3,2,1,6,3,4,4,5,3,4,4,4,4,3,2,2,4,6,4,4,6,3,4,3,1,5,4,3,3,3,4,4,6,6,1,6,6,3,2,3,4,3,4,3,4,3,4,3,5,5,5,3,3,2,3,3,5,4,4,5,5,4,2,4,3,3,5,3,3,5,4,3,3,1,1,4,1,1, , , , , , , , , , ,3,4,3,4,3,4,3,4,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, ,2,3,3
4,2, ,1,2,2,17,3.4,2,2, , , ,3,4,6,4,5,3,2,6,2,6,3,1,1,4,5,2,4,3,4,4,5,4,6,3,2,2,2,6,4,4,3,6,6,1,3,4,4,2,3,6,5,3,5,4,6,5,6,6,4,3,6,5,4,4,5,4,3,5,6,6,6,6,5,6,5,4,4,5,5,2,5,2,4,5,5,5,6,3,3,3,3,6,6,5, ,3,4,3,1, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,2,19,1,2,2,13,3,2,2, , , ,3,3,6,4,6,4,3,5,4,3,3,3,1,2,2,4,2,1,4,4,5,4,5,3,2,4,2,6,4,3,1,6,5,3,2,3,5,3,4,3,3,6,1,5,6,4,4,6,4,3,5,6,3,6,6,4,1,6,4,3,3,2,1,1,1,1,3,6,6,2,5,1,6,6,3,2,1,6,6,4,2, ,5,6,6,5,4,4,1, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,2,24,1,2,3,16,3,1,1,45,25000, , ,1,1,1,1,4,2,6,2,5,4,2,2,3,5,5,5,2,5,5,5,5,5,2,2,2,2,5,5,6,2,5,5,2,5,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,2,5,2,2,5,5,5,2,5,2,4,4,1,2,2,2,2,4,4,2,5,5,5,5,5,5,1, , , , , , , , , ,1,2,2,2,2,2,4,4,2,6,5,2,2,5,2,2,5,5,5,5,5,2,2,5,5,2,3,4,2,2,2,2,2,5,5,2,5,5,5,2,6,5,5
7,1,20,2,2,3,17,3.25,1,1,20, ,9000,2,3,5,2,4,5,4,4,5,4,6,4,4,5,5,5,2,5,5,2,4,5,2,4,4,2,2,5,4,2,2,5,3,4,4,3,4,3,2,4,4,5,3,5,6,4,6,6,4,4,6,6,4,5,6,4,3,6,4,5,5,5,3,5,3,5,4,4,4,2,5,2,5,5,3,4,2,3,5,5,5,5,5,5,5,4,5,4,2,4,3,6,3,6,1,2,6,6,1,2,5,5,5,5,4,4,4,4,4,4,5,5,3,5,4,2,2,2,2,3,5,3,2,1,1,6,6,2,5,1,2,5,5,1,5,4,4,3,3,4,5
8,2,21,1,2,4,15,2.33,1,1,26,60000,14400,5,2,5,4,5,4,5,4,6,3,4,4,4,3,6,5,4,5,5,6,5,3,5,4,2,2,2,5,5,2,5,6,6,2,4,2,3,5,3,5,4,4,5,5,5,4,6,5,2,3,5,5,2,4,6,2,2,4,5,5,5,2,2,5,2,4,2,5,5,2,5,2,5,5,3,2,2,4,5,4,4,4,5,5,5,5,5,2,1, , , , , , , , , ,1,2,3,4,5,2,4,5,2,5,4,3,5,5,2,3,2,2,2,2,2,4,5,4,3,2,2,4,3,2,4,2,4,5,5,3,3,4,5,3,2,2,5
9,2,20,2,2,3,12,3,1,1,30, , ,3,3,4,4,6,3,4,6,6,5,4,1,1,6,5,4,4,4,5,2,5,6,6,5,1,5,2,6,5,4,3,6,4,5,5,3,3,6,6,5,5,5,5,5,6,3,5,6,4,2,6,6,2,4,6,3,1,2,2,5,3,5,3,3,5,1,2,5,5,2,5,2,4,3,2,2,1,2,2,2,2,4,6,5,6,4,4,4,2,6,1,6,2,6,1,2,2,5,1,1,2,5,2,2,1,1,6,1,6,1,5,5,6,5,6,6,5,2,4,2,6,1,1,1,2,1,1,1,1,1,1,6,5,2,5,4,5,5,1,2,5
10,1,27,2,2,4,15,3.47,1,1,25,50000,30000,5,6,4,2,2,5,3,5,2,6,5,1,1,6,6,2,2,2,4,1,4,3,5,5,1,2,3,5,5,6,2,6,6,4,2,1,5,4,5,2,1,5,1,6,5,6,6,4,4,2,4,5,1,6,6,5,1,5,1,1,1,1,1,1,1,1,1,6,6,1,5,1,5,6,1,2,1,4,6,4,4,3,5,6,6,6,6,6,2,6,1,6,1,6,1,1,5,6,1,2,6,6,4,2,3,2,6,1,4,2,2,2,1,5,4,4,4,4,4,2,4,2,6,1,1,5,4,1,5,1,1,6,5,1,5,4,5,5,2,1,6
11,2,22,2,2,3,14,2.9,1,1,15,60000,13000,4,3,6,4,5,4,6,4,4,4,5,4,4,3,4,3,5,4,5,2,3,4,4,2,3,4,4,4,4,5,3,4,5,4,4,4,4,4,4,4,2,2,3,4,5,5,5,5,5,4,4,5,5,5,5,4,4,3,4,6,5,5,4,5,4,4,3,4,4,5,4,4,3,3,5,5,5,2,1,2,1,5,5,4,4,4,4,5,2,5,3,5,3,6,1,2,6,6,1,4,2,4,2,2,2,3,5,4,5,3,3,2,5,4,5,4,4,4,3,3,3,4,5,3,4,3,3,2,3,2,2,4,5,2,5,4,4,3,5,5,4
12,2,19,1,2,2,8,2.3,1,1,12, ,6000,4,5,5,3,6,5,4,4,6,3,3,5,5,3,3,6,4,5,3,4,2,4,5,3,1,3,4,5,6,3,2,6,4,4,1,5,4,1,3,6,5,4,4,2,5,4,6,6,3,3,6,6,4,6,6,3,4,3,6,6,5,6,6,6,4,4,2,4,4,5,5,3,4,4,6,5,5,1,2,2,2,5,4,5,6,3,3,2,1, , , , , , , , , ,1,1,3,3,5,5,5,3,4,5,5,3,4,2,4,3,6,4,3,5,3,3,5,5,6,1,2,4,4,1,4,2,2,4,5,5,5,4,4,3,4,4,5
13,1,18,1,1,1,13, ,1,2, ,1300,1300,1,6,5,3,5,2,6,4,6,2,5,5,3,2,2,3,4,2,5,4,4,5,5,5,2,2,2,5,5,3,3,2,5,2,2,2,5,3,4,4,4,4,2,2,6,3,6,6,5,1,6,6,2,6,6,6,3,6,2,6,6,6,3,5,1,2,2,5,5,2,5,2,6,5,5,4,4,1,4,2,4,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,2,18,1,2,2,12,2.5,2,2, , , ,4,4,4,3,3,3,6,2,3,4,4,4,4,2,3,4,3,3,4,3,2,5,4,2,1,1,2,3,4,2,2,5,5,5,3,6,5,5,4,4,3,2,4,4,5,6,6,4,6,6,2,6,1,6,6,1,1,6,6,6,6,6,6,6,6,6,6,4,4,5,4,5,1,2,6,6,6,1,1,1,1,1,1,6,1,4,5,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,1,22,1,2,3,10,2.5,1,1,50,170000,30000,3,3,5,6,6,3,5,6,4,5,6,2,2,2,4,3,5,3,4,3,5,5,5,5,2,2,3,5,5,3,4,4,5,3,3,4,3,3,2,2,2,6,4,5,5,3,5,6,4,2,4,6,2,5,6,2,2,5,5,2,2,2,2,2,4,4,2,4,5,2,6,2,5,5,2,2,1,5,5,4,5,5,5,5,5,4,4,3,1, , , , , , , , , ,1,1,5,2,6,2,5,5,2,5,1,5,5,5,1,5,1,2,6,1,5,1,6,1,5,1,1,5,5,2,5,1,1,5,5,3,5,2,4,3,1,1,5
16,2,21,1,1,1,13,3.75,1,2, , , ,3,3,6,6,6,6,1,4,4,4,1,3,2,5,4,6,4,3,4,4,4,5,1,4,4,5,1,6,4,3,4,6,5,6,6,1,1,3,6,6,6,6,1,6,6,4,5,5,2,1,6,3,6,1,4,6,1,1,6,6,6,6,6,6,6,6,6,5,5,3,4,3,3,4,4,4,6,1,1,1,1,1,1,1,6,6,6,6,1, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,1,19,2,1,3,15,3.3,1,1,32,125000,100000,2,1,4,1,4,5,2,5,6,4,4,3,1,3,5,2,5,3,5,3,5,5,4,5,2,2,2,5,3,4,3,3,5,1,1,3,5,4,3,4,3,5,2,5,6,2,6,6,2,4,6,6,1,6,6,4,2,5,4,4,4,4,2,2,2,2,2,5,5,1,5,3,6,6,4,2,1,6,6,6,4,4,5,6,6,6,6,1,2,6,2,6,1,6,1,1,6,6,1,3,6,6,6,3,5,5,1,6,2,6,5,6,1,6,6,5,3,2,4,4,3,3,3,2,2,5,5,2,5,1,1,5,5,2,5,5,5,5,5,5,5
18,1,25,2,1,3,19,3.5,2,2, ,50000,50000,2,3,3,3,3,4,2,5,2,5,6,2,2,5,5,3,3,4,3,3,4,5,3,3,3,3,2,5,5,5,3,5,5,3,4,3,4,4,3,3,1,5,2,6,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,6,3,5,3,4,2,3,3,4,4,4,4,4,4,5,2,2,3,3,3,3,3,3,4,4,4,4,4,4,2,5,4,4,4,5,3,3,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,2,22,2,2,3,16,3.3,1,1,20,85000,24000,4,3,6,6,6,5,5,5,6,1,4,6,5,5,1,4,5,2,1,6,2,4,6,4,6,6,6,6,6,6,6,3,4,4,4,4,3,4,4,6,3,1,6,4,5,5,5,5,6,2,4,3,5,3,4,6,2,1,4,6,6,6,3,6,6,6,3,6,6,2,5,3,5,5,1,6,6,4,4,6,6,6,6,6,6,4,3,3,2,6,1,6,1,6,1,1,6,6,1,1,4,4,4,1,4,3,6,4,6,6,4,1,4,5,4,4,6,5,4,6,6,6,6,2,1,5,4,1,4,1,1,6,4,1,4,4,5,4,1,4,4
20,2,18,2,2,1,17,4,2,2, , , ,2,2,5,3,3,2,4,3,2,5,4,2,2,3,5,4,4,2,2,1,5,5,4,2,4,3,1,5,5,2,3,6,4,4,5,2,2,5,2,4,2,5,2,5,6,4,6,6,5,3,6,5,2,6,6,5,2,6,4,6,4,6,2,2,4,2,5,5,5,4,5,5,3,6,2,4,4,5,2,5,4,5,5,5,5,5,6,4,2,6,1,5,2,6,1,4,2,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,1,30,2,2,4,12,3.5,1,1,40,65000,50000,3,5,4,3,5,5,2,5,6,6,6,5,2,5,6,1,2,2,5,2,4,5,5,5,3,2,5,5,5,6,4,5,5,5,5,2,2,5,5,2,1,6,2,5,2,3,5,5,5,2,3,4,2,5,5,4,2,4,2,6,4,2,1,1,1,1,2,6,6,1,6,1,6,6,1,2,1,5,5,5,5,1,2,6,6,4,5,1,2,5,2,4,2,6,2,2,5,6,1,1,2,2,6,2,4,4,2,5,5,5,4,3,3,2,2,5,2,2,1,4,6,2,2,2,1,5,5,2,5,2,2,5,5,2,5,2,5,6,2,2,4
22,2,21,2,2,3,13,2.68,1,1, ,40000,7000,5,3,4,2,6,3,5,4,5,3,5,2,2,3,4,4,5,3,3,4,3,5,4,2,2,2,2,5,2,2,2,4,6,4,4,2,5,4,3,3,3,2,2,5,4,5,5,6,5,5,4,5,4,5,6,5,4,3,6,6,5,6,6,5,6,6,6,4,4,5,5,5,2,2,6,6,6,1,1,3,1,1,5,5,6,6,5,3,2,5,4,4,6,6,3,2,5,5,1,5,6,5,5,4,3,3,3,4,3,4,5,2,2,2,3,1,1,1,4,2,5,1,2,6,2,4,2,1,4,4,2,5,4,1,5,1,1,5,3,2,5
23,2,20,2,2,2,7,3.4,2,1,36, , ,6,2,6,6,6,2,4,5,5,3,5,5,5,4,5,1,4,3,5,3,2,6,6,4,1,2,2,2,5,2,2,6,6,6,5,6,3,3,4,5,5,6,5,4,6,4,6,6,1,4,5,6,1, ,5,1,1,3,5,5,5,5,2,4,4,4,2,5,5,1,5,2,5,5,5,4,4,4,4,4,3,2,3,4,6,4,6,2,2,5,4,6,3,6,2,2,6,6,1,5,5,5,5,5,5,5,3,4,5,4,3,3,3,5,5,6,5,5,5,5,4,5,5,5,5,5,2,3,4,1,4,5,6,1,5,4,6,2,2,2,5
24,2,23,1,2,3,8,3.2,2,2, ,5400,5400,2,5,6,6,6,2,4,5,5,3,5,2,1,2,1,5,4,2,5,2,2,5,3,5,1,2,2,5,5,2,5,4,6,3,1,1,6,4,3,4,6,6,2,4,6,2,6,6,1,2,6,6,4,6,6,3,1,6,6,6,5,2,5,5,6,4,1,6,6,4,6,2,5,5,1,1,2,2,2,2,1,5,5,6,6,6,5,5,1, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,2,25,2,1,4,15, ,1,1, , , , ,3,4,2,4,6,1,6,2,4,1,4,2,5,4,4,3,2,4,2,4,5,4,4,2,2,4,6,6,5,2,6,6,1,1,1,6,2,2,4,4,6,1,4,6,1,6,6,1,2,6,5,2,4,5,4,2,4,4,6,6,6,2,2,4,4,2,5,5,1,4,1,6,5,4,2,2,5,5,5, , ,5,5,5,5,5,5,2,5,2,6,4,6,1,1,6,6,1,2,5,5,4,6,6,6,4,6,1,6,1,2,1,2,2,1,1,1,1,1,6,1,6,1,1,6,6,1,5,1,1,6,5,1,5,4,4,4,4,6,3
26,2,22,1,2,3,12,3.3,1,2, , ,2600,6,2,5,5,5,3,6,4,4,4,4,3,4,1,2,4,4,4,5,1,2,5,6,2,4,4,4,3,4,6,4,6,2,6,5,4,3,5,1,4,3,4,3,6,6,4,5,6,2,4,6,6,4,4,6,4,1,5,5,5,5,5,1,6,2,5,4,6,6,5,5,5,4,5,6, ,5,4,4,6,4,6,6,6,6,6,4,6,1, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,1,24,2,2,3,14,2.44,1,2, ,16000,16000,3,2,4,3,2,4,4,4,6,3,6,3,2,4,3,4,2,3,2,5,5,6,6,6,6,5,3,4,4,5,2,4,4,5,3,2,5,5,2,4,3,5,2,5,5,2,5,6,6,4,5,6,4,6,6,3,4,5,2,2,2,2,2,5,2,5,3,6,6,2,6,2,5,5,3,2,2,5,5,5,2,2,5,5,5,3,5,5,2,5,3,5,4,4,3,4,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,2,20,2,2,3,16,3.49,2,2, , , ,4,3,6,6,6,1,6,4,4,1,6,1,1,4,6,3,6,2,4,1,4,3,6,6,4,1,1,6,6,6,1,6,6,1,1,1,6,3,4,3,3,1,6,3,6,6,6,6,3,1,4,6,1,6,6,1,1,6,1,6,1,1,1,6,6,6,1,6,6,1,6,1,6,4,1,1,1,6,6,6,2,6,6,6,6,6,6,6,2,6,1,6,2,6,1,1,6,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,2,22,2,2,4,14,2.8,1,1,28,56000,10000,4,3,5,3,4,2,5,4,5,5,4,3,2,3,4,5,2,2,4,3,4,5,5,4,3,2,2,4,5,6,5,4,5,2,4,2,4,4,2,3,2,3,4,5,5,5,6,6,5,4,4,5,5,4,5,3,2,3,5,5,5,3,3,2,4,2,5,5,5,2,4,2,3,4,4,5,5,4,4,5,3,6,6,4,4,5,4,3,2,5,2,3,1,5,1,2,3,5,1,2,3,3,5,2,5,5,2,4,2,5,5,4,2,4,5,5,2,2,2,2,4,2,5,2,2,5,4,2,5,2,2,4,4,2,5,4,4,4,4,4,5
30,2,20,2,2,3,16,4,1,1,40,60000,12000,5,5,5,4,4,3,4,5,3,3,2,3,2,4,4,5,5,5,4,3,3,5,3,3,2,2,3,4,5,6,3,4,4,3,3,3,4,3,3,3,2,6,2,6,2,5,3,3,5,5,3,5,3, ,5,2,2,5,5,5,5,5,5,5,5,5,2,5,5,2,5,2,3,3,3,5,5,2,2,2,2,2,5,5,3,5,5,3,2,5,3,5,2,5,2,2,5,5,1,3,4,5,4,5,4,3,3,3,4,4,4,4,3,3,4,3,4,3,4,4,4,3,4,2,2,5,5,2,5,2,2,5,5,2,5,4,4,3,2,2,5
31,2,23,2,2,3,14,3.1,1,1,30,50000,30000,4,5,3,5,2,3,4,4,6,6,4,4,3,3,4,4,3,2,5,2,2,5,4,3,2,2,4,5,4,5,4,3,5,4,3,1,4,4,2,3,2,4,4,4,5,4,5,5,4,2,4,5,3,5,5,2,2,4,5,3,6,5,4,5,5,4,4,4,4,2,5,5,3,3,4,3,3,4,3,3,2,2,5,4,5,4,5,2,2,5,2,5,2,5,2,2,5,5,1,3,5,3,4,3,4,5,3,4,2,4,4,5,3,4,3,4,4,4,5,2,2,4,5,2,2,5,4,2,5,2,2,4,5,2,4,5,4,2,2,3,5
32,2,20,2,2,3,15,3.8,1,1,12, , ,5,4,5,5,2,5,3,6,4,5,5,2,1,5,5,1,1,1,4,2,4,4,5,6,4,2,2,4,3,5,2,2,6,1,1,6,6,4,6,2,3,6,2,5,5,5,5,5,2,4,6,6,3,5,5,2,2,5,4,5,4,6,1,1,2,2,1,6,6,1,5,2,5,5,4,3,3,4,5,4,5,5,6,6,6,6,6,6,2,6,4,6,3,6,1,1,4,6,1,1,5,5,5,2,5,3,4,4,5,3,6,1,2,1,4,2,2,2,2,5,5,2,2,2,1,5,5,2,5, , , , , , ,3,3,5,2,2,5
33,2,24,1,2,3,15,3,1,1,40,29705, ,4,4,3,4,4,4,3,5,5,4,1,3,2,4,4,4,5,5,4,3,4,5,6,4,2,3,2,6,6,6,3,4,4,5,4,3,4,4,3,3,3,3,2,4,4,4,4,5,6,5,4,5,4,4,5,4,3,5,6,6,6,6,5,5,6,5,4,5,4,2,4,2,4,3,3,3,4,3,2,3,4,4,5,6,6,6,5,4,1, , , , , , , , , ,1,2,6,4,5,5,5,6,5,4,4,5,6,4,3,4,3,3,3,3,2,4,4,5,4,2,1,6,5,2,5,1,1,5,4,4,4,5,5,4,2,5,5
34,1,25,1,2,3,13, ,1,1,23,7200,7200,5,5,4,2,2,2,4,5,6,6,2,6,6,1,1,6,6,5,5,3,2,5,6,6,2,2,4,2,4,6,4,1,1,4,4,2,2,4,1,6,4,3,5,3,3,4,4,4,4,2,3,4,3,4,4,4,2,2,4,4,5,4,3,5,4,5,4,1,2,5,2,4,1,1,5,6,6,1,1,1,2,4,4,5,4,3,2,3,1, , , , , , , , , ,1,2,3,4,4,3,2,1,4,3,4,3,4,2,4,2,4,3,3,4,3,3,4,3,5,2,2,3,2,2,3,2,2,4,5,1,4,5,4,1,2,4,4
35,2,34,2,1,2,7,4,1,1,22,16000,16000,6,5,5,2,5,1,4,4,5,5,4,2,2,3,2,2,3,2,4,4,4,2,5,4,2,1,3,5,6,6,3,3,6,2,2,3,5,2,3,3,2,2,3,4,6,4,5,6,2,2,6,6,2,5,6,3,1,6,6,6,3,2,1,3,3,2,2,5,6,2,5,2,3,5,4,3,1,2,4,4,2, ,6,6,5, ,2,5,2,6,1,6,1,6,1,1,6,6,1,4,6,3,4,3,2,4,2,5,5,2,1,2,6,2,6,5,2,5,4,4,2,5,5,3,3,2,1,1,2,1,1,5,4,1,4,3,4,5,2,2,5
36,1,20,2,2,3,14,3.85,1,1,20,230000,2000,4,5,5,4,4,4,5,4,6,4,5,6,5,2,3,2,3,1,3,4,6,3,3,5,5,3,4,6,6,5,2,6,6,1,2,6,6,3,3,5,6,5,3,4,5,2,5,6,2,3,4,6,1,6,6,5,2,6,6,6,6,6,2,5,5,6,2,5,6,2,5,1,5,6,2,3,3,5,5,6,5,6,6,6,6,6,6,5,2,6,2,6,4,5,5,6,5,4,1,2,4,5,6,2,5,4,2,3,4,5,6,2,2,4,5,2,1,2,3,4,4,3,4,1,1,5,5,2,5,1,1,5,6,1,5,4,4,4,4,3,5
37,2,28,2,2,4,15,3,1,1,32,84000,48000,4,4,4,5,4,5,3,4,5,4,2,4,2,3,5,2,2,2,5,4,3,4,5,4,2,3,1,5,5,2,2,4,6,1,3,2,4,2,3,3,4,6,2,5,5,6,5,5,5,4,3,5,4,4,5,5,2,4,6,6,6,2,3,3,3,3,4,6,6,2,4,2,6,6,2,2,2,3,4,5,1,3,5,5,5,5,4,3,2,5,1,6,1,6,1,1,5,6,1,1,2,5,5,1,4,3,3,4,2,3,3,5,3,5,3,2,2,2,2,3,5,2,5,2,2,5,6,4,5,1,1,4,5,3,5,1,2,5,2,2,5
