location,sex,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years
WORLD,M,315119,311456,312831,311077,284258,255596,248575,232217,202633,176241,153494,114194,83129,65266,43761,39223
WORLD,F,293664,290598,293313,295739,273379,247383,241938,226914,201142,176440,156283,121200,92071,77990,56895,66029
More developed regions,M,34287,34133,38075,42824,44357,43143,43912,43486,44851,42517,38446,33932,24980,21980,15915,17717
More developed regions,F,32648,32467,36243,40991,42823,42162,43370,43479,45906,44821,41790,37784,29438,28807,22862,35345
Less developed regions,M,280832,277322,274756,268253,239901,212454,204663,188732,157782,133725,115048,80261,58148,43286,27846,21506
Less developed regions,F,261016,258131,257070,254748,230556,205221,198569,183435,155236,131619,114493,83416,62632,49183,34034,30684
Least developed countries,M,56139,50917,45401,39469,33858,28163,23100,19187,15619,12308,9506,7195,5429,3772,2281,1555
Least developed countries,F,54753,49677,44476,39174,33838,28233,23278,19484,16168,12940,10353,8206,6327,4376,2695,1933
Less developed regions excluding least developed countries,M,224692,226406,229355,228784,206043,184291,181563,169544,142163,121417,105542,73067,52720,39514,25564,19951
Less developed regions excluding least developed countries,F,206263,208455,212595,215574,196719,176988,175291,163951,139068,118679,104140,75210,56306,44807,31339,28751
Less developed regions excluding China,M,233887,224543,217194,204384,186815,164025,142641,124857,108138,90675,72400,51598,38081,27767,17437,13736
Less developed regions excluding China,F,222563,213676,207143,196551,180428,159021,138848,122803,107778,91426,74435,55389,42709,32988,21952,19390
Sub-Saharan Africa,M,60698,52821,46297,40410,34230,28379,22573,17718,14337,11607,9326,7308,5395,3579,2071,1301
Sub-Saharan Africa,F,59453,51906,45707,40135,33996,27890,22088,17708,14830,12559,10415,8259,6274,4339,2648,1883
AFRICA,M,68908,60738,54503,48829,42051,34819,27969,22544,18629,15367,12295,9515,6852,4710,2808,1800
AFRICA,F,67294,59488,53623,48381,41836,34460,27627,22610,19187,16307,13385,10597,7926,5717,3559,2597
